date,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
2022-08-12,Osasuna,Sevilla,2,1,12,10,5,3,5,2,5,3,0,0
2022-08-13,Celta de Vigo,Espanyol,2,2,8,10,3,2,3,3,5,2,0,0
2022-08-13,Real Valladolid,Villarreal,0,3,12,10,6,4,4,5,1,0,0,0
2022-08-13,Barcelona,Rayo Vallecano,0,0,21,4,6,2,8,0,3,6,1,0
2022-08-14,Cadiz,Real Sociedad,0,1,7,15,2,7,3,6,4,2,0,0
2022-08-14,Valencia,Girona,1,0,17,5,2,1,4,4,2,3,1,0
2022-08-14,Almeria,Real Madrid,1,2,10,29,6,15,2,15,3,1,0,0
2022-08-15,Getafe,Atletico Madrid,0,3,10,12,0,5,3,6,2,1,0,0
2022-08-15,Athletic Bilbao,Mallorca,0,0,23,6,6,2,7,2,0,6,0,0
2022-08-15,Real Betis,Elche,3,0,17,4,8,2,8,4,3,6,0,1
2022-08-19,Sevilla,Real Valladolid,1,1,18,6,2,3,12,2,3,2,1,1
2022-08-19,Espanyol,Rayo Vallecano,0,2,13,8,1,3,9,2,2,5,1,1
2022-08-20,Osasuna,Cadiz,2,0,16,9,3,2,2,2,2,5,0,1
2022-08-20,Mallorca,Real Betis,1,2,13,8,7,3,5,2,7,8,0,0
2022-08-20,Celta de Vigo,Real Madrid,1,4,15,16,2,7,2,2,2,2,0,0
2022-08-21,Athletic Bilbao,Valencia,1,0,12,10,2,0,6,3,5,2,0,0
2022-08-21,Atletico Madrid,Villarreal,0,2,13,19,5,5,5,6,2,3,1,0
2022-08-21,Real Sociedad,Barcelona,1,4,10,15,5,7,3,6,2,1,0,0
2022-08-22,Elche,Almeria,1,1,13,12,3,7,6,5,1,4,0,1
2022-08-22,Girona,Getafe,3,1,12,7,6,3,5,2,3,6,0,1
2022-08-26,Girona,Celta de Vigo,0,1,11,11,3,6,2,4,2,1,0,0
2022-08-26,Real Betis,Osasuna,1,0,7,12,1,2,2,4,0,3,1,0
2022-08-27,Elche,Real Sociedad,0,1,12,9,5,5,4,6,3,3,0,0
2022-08-27,Rayo Vallecano,Mallorca,0,2,15,9,0,4,7,3,1,3,0,0
2022-08-27,Almeria,Sevilla,2,1,11,13,5,5,5,2,5,8,0,0
2022-08-28,Getafe,Villarreal,0,0,8,11,2,6,1,4,1,5,0,0
2022-08-28,Barcelona,Real Valladolid,4,0,24,8,9,3,14,4,0,3,0,0
2022-08-28,Espanyol,Real Madrid,1,3,15,19,4,6,7,7,0,0,1,0
2022-08-29,Cadiz,Athletic Bilbao,0,4,9,20,3,8,0,6,2,1,0,0
2022-08-29,Valencia,Atletico Madrid,0,1,12,13,2,7,6,2,4,3,0,0
2022-09-02,Celta de Vigo,Cadiz,3,0,9,7,5,0,2,2,1,2,0,0
2022-09-03,Mallorca,Girona,1,1,10,10,4,4,6,3,4,2,0,0
2022-09-03,Real Madrid,Real Betis,2,1,22,8,4,4,9,2,0,1,0,0
2022-09-03,Real Sociedad,Atletico Madrid,1,1,12,15,5,7,7,7,5,4,0,0
2022-09-03,Sevilla,Barcelona,0,3,9,18,4,7,4,4,2,4,0,0
2022-09-04,Osasuna,Rayo Vallecano,2,1,13,5,6,3,4,0,2,2,0,0
2022-09-04,Athletic Bilbao,Espanyol,0,1,17,9,2,2,4,2,3,2,0,0
