matchday,date_str,home_team,away_team
20,2026-01-18 15:15,Atletico Madrid,Alaves
20,2026-01-18 17:30,Celta de Vigo,Rayo Vallecano
20,2026-01-18 20:00,Real Sociedad,Barcelona
20,2026-01-19 20:00,Elche CF,Sevilla
21,2026-01-23 20:00,Levante UD,Elche CF
21,2026-01-24 13:00,Rayo Vallecano,Osasuna
21,2026-01-24 15:15,Valencia,Espanyol
21,2026-01-24 17:30,Sevilla,Athletic Bilbao
21,2026-01-24 20:00,Villarreal,Real Madrid
21,2026-01-25 13:00,Atletico Madrid,Mallorca
21,2026-01-25 15:15,Barcelona,Real Oviedo
21,2026-01-25 17:30,Real Sociedad,Celta de Vigo
21,2026-01-25 20:00,Alaves,Real Betis
21,2026-01-26 20:00,Girona,Getafe
22,2026-01-30 20:00,Espanyol,Alaves
22,2026-01-31 13:00,Real Oviedo,Girona
22,2026-01-31 15:15,Osasuna,Villarreal
22,2026-01-31 17:30,Levante UD,Atletico Madrid
22,2026-01-31 20:00,Elche CF,Barcelona
22,2026-02-01 13:00,Real Madrid,Rayo Vallecano
22,2026-02-01 15:15,Real Betis,Valencia
22,2026-02-01 17:30,Getafe,Celta de Vigo
22,2026-02-01 20:00,Athletic Bilbao,Real Sociedad
22,2026-02-02 20:00,Mallorca,Sevilla
23,2026-02-08 00:00,Alaves,Getafe
23,2026-02-08 00:00,Athletic Bilbao,Levante UD
23,2026-02-08 00:00,Atletico Madrid,Real Betis
23,2026-02-08 00:00,Barcelona,Mallorca
23,2026-02-08 00:00,Celta de Vigo,Osasuna
23,2026-02-08 00:00,Real Sociedad,Elche CF
23,2026-02-08 00:00,Villarreal,Espanyol
23,2026-02-08 00:00,Sevilla,Girona
23,2026-02-08 00:00,Valencia,Real Madrid
23,2026-02-08 00:00,Rayo Vallecano,Real Oviedo
24,2026-02-15 00:00,Elche CF,Osasuna
24,2026-02-15 00:00,Getafe,Villarreal
24,2026-02-15 00:00,Levante UD,Valencia
24,2026-02-15 00:00,Real Madrid,Real Sociedad
24,2026-02-15 00:00,Sevilla,Alaves
24,2026-02-15 00:00,Real Oviedo,Athletic Bilbao
24,2026-02-15 00:00,Rayo Vallecano,Atletico Madrid
24,2026-02-15 00:00,Girona,Barcelona
24,2026-02-15 00:00,Mallorca,Real Betis
24,2026-02-15 00:00,Espanyol,Celta de Vigo
25,2026-02-22 00:00,Alaves,Girona
25,2026-02-22 00:00,Athletic Bilbao,Elche CF
25,2026-02-22 00:00,Atletico Madrid,Espanyol
25,2026-02-22 00:00,Barcelona,Levante UD
25,2026-02-22 00:00,Real Betis,Rayo Vallecano
25,2026-02-22 00:00,Celta de Vigo,Mallorca
25,2026-02-22 00:00,Getafe,Sevilla
25,2026-02-22 00:00,Osasuna,Real Madrid
25,2026-02-22 00:00,Villarreal,Valencia
25,2026-02-22 00:00,Real Sociedad,Real Oviedo
26,2026-03-01 00:00,Barcelona,Villarreal
26,2026-03-01 00:00,Real Betis,Sevilla
26,2026-03-01 00:00,Elche CF,Espanyol
26,2026-03-01 00:00,Mallorca,Real Sociedad
26,2026-03-01 00:00,Levante UD,Alaves
26,2026-03-01 00:00,Rayo Vallecano,Athletic Bilbao
26,2026-03-01 00:00,Real Oviedo,Atletico Madrid
26,2026-03-01 00:00,Girona,Celta de Vigo
26,2026-03-01 00:00,Real Madrid,Getafe
26,2026-03-01 00:00,Valencia,Osasuna
27,2026-03-08 00:00,Athletic Bilbao,Barcelona
27,2026-03-08 00:00,Atletico Madrid,Real Sociedad
27,2026-03-08 00:00,Celta de Vigo,Real Madrid
27,2026-03-08 00:00,Espanyol,Real Oviedo
27,2026-03-08 00:00,Valencia,Alaves
27,2026-03-08 00:00,Getafe,Real Betis
27,2026-03-08 00:00,Villarreal,Elche CF
27,2026-03-08 00:00,Levante UD,Girona
27,2026-03-08 00:00,Osasuna,Mallorca
27,2026-03-08 00:00,Sevilla,Rayo Vallecano
28,2026-03-15 00:00,Alaves,Villarreal
28,2026-03-15 00:00,Atletico Madrid,Getafe
28,2026-03-15 00:00,Barcelona,Sevilla
28,2026-03-15 00:00,Real Betis,Celta de Vigo
28,2026-03-15 00:00,Real Oviedo,Valencia
28,2026-03-15 00:00,Girona,Athletic Bilbao
28,2026-03-15 00:00,Real Madrid,Elche CF
28,2026-03-15 00:00,Mallorca,Espanyol
28,2026-03-15 00:00,Rayo Vallecano,Levante UD
28,2026-03-15 00:00,Real Sociedad,Osasuna
29,2026-03-22 00:00,Athletic Bilbao,Real Betis
29,2026-03-22 00:00,Barcelona,Rayo Vallecano
29,2026-03-22 00:00,Elche CF,Mallorca
29,2026-03-22 00:00,Espanyol,Getafe
29,2026-03-22 00:00,Levante UD,Real Oviedo
29,2026-03-22 00:00,Sevilla,Valencia
29,2026-03-22 00:00,Celta de Vigo,Alaves
29,2026-03-22 00:00,Real Madrid,Atletico Madrid
29,2026-03-22 00:00,Osasuna,Girona
29,2026-03-22 00:00,Villarreal,Real Sociedad
30,2026-04-05 00:00,Alaves,Osasuna
30,2026-04-05 00:00,Atletico Madrid,Barcelona
30,2026-04-05 00:00,Real Betis,Espanyol
30,2026-04-05 00:00,Girona,Villarreal
30,2026-04-05 00:00,Mallorca,Real Madrid
30,2026-04-05 00:00,Real Oviedo,Sevilla
30,2026-04-05 00:00,Getafe,Athletic Bilbao
