date,home_team,away_team,home_score,away_score
2026-01-17,Real Madrid,Levante,2,0
2026-01-17,Espanyol,Girona,0,2
2026-01-17,Sevilla,Celta de Vigo,0,1
2026-01-17,Levante,Espanyol,1,1
2026-01-17,Rayo Vallecano,Mallorca,2,1
2026-01-17,Valencia,Elche,1,1
2026-01-17,Girona,Osasuna,1,0
2026-01-17,Villarreal,Alavés,3,1
2026-01-17,Real Oviedo,Real Betis,1,1
2026-01-17,Getafe,Real Sociedad,1,2
2026-01-17,Real Sociedad,Atlético de Madrid,1,1
2026-01-17,Alavés,Real Oviedo,1,1
2026-01-17,Mallorca,Girona,1,2
2026-01-17,Real Madrid,Real Betis,5,1
2026-01-17,Sevilla,Levante,0,3
2026-01-17,Espanyol,Barcelona,0,2
2026-01-17,Elche,Villarreal,1,3
2026-01-17,Osasuna,Athletic Club,1,1
2026-01-17,Celta de Vigo,Valencia,4,1
2026-01-17,Rayo Vallecano,Getafe,1,1
2026-01-17,Athletic Club,Espanyol,1,2
2026-01-17,Real Betis,Getafe,4,0
2026-01-17,Elche,Rayo Vallecano,4,0
2026-01-17,Villarreal,Barcelona,0,2
2026-01-17,Girona,Atlético de Madrid,0,3
2026-01-17,Real Madrid,Sevilla,2,0
2026-01-17,Osasuna,Alavés,3,0
2026-01-17,Levante,Real Sociedad,1,1
2026-01-17,Real Oviedo,Celta de Vigo,0,0
2026-01-17,Valencia,Mallorca,1,1
2026-01-17,Rayo Vallecano,Real Betis,0,0
2026-01-17,Alavés,Real Madrid,1,2
2026-01-17,Celta de Vigo,Athletic Club,2,0
2026-01-17,Sevilla,Real Oviedo,4,0
2026-01-17,Getafe,Espanyol,0,1
2026-01-17,Barcelona,Osasuna,2,0
2026-01-17,Mallorca,Elche,3,1
2026-01-17,Atlético de Madrid,Valencia,2,1
2026-01-17,Real Sociedad,Girona,1,2
2026-01-17,Osasuna,Levante,2,0
2026-01-17,"Real Madrid
2",Celta de Vigo,0,2
2026-01-17,Espanyol,Rayo Vallecano,1,0
2026-01-17,Valencia,Sevilla,1,1
2026-01-17,Elche,Girona,3,0
2026-01-17,Athletic Club,Atlético de Madrid,1,0
2026-01-17,Real Betis,Barcelona,3,5
2026-01-17,Alavés,Real Sociedad,1,0
2026-01-17,Villarreal,Getafe,2,0
2026-01-17,"Real Oviedo
2",Mallorca,0,0
2026-01-17,Athletic Club,Real Madrid,0,3
2026-01-17,Barcelona,Atlético de Madrid,3,1
2026-01-17,Rayo Vallecano,Valencia,1,1
2026-01-17,Girona,Real Madrid,1,1
2026-01-17,Celta de Vigo,Espanyol,0,1
2026-01-17,Sevilla,Real Betis,0,2
2026-01-17,Real Sociedad,Villarreal,2,3
2026-01-17,Atlético de Madrid,Real Oviedo,2,0
2026-01-17,Levante,Athletic Club,0,2
2026-01-17,Barcelona,Alavés,3,1
2026-01-17,Mallorca,Osasuna,2,2
2026-01-17,Getafe,Elche,1,0
2026-01-17,Espanyol,Sevilla,2,1
2026-01-17,Elche,Real Madrid,2,2
2026-01-17,Getafe,Atlético de Madrid,0,1
2026-01-17,Real Betis,Girona,1,1
2026-01-17,Real Oviedo,Rayo Vallecano,0,0
2026-01-17,Villarreal,Mallorca,2,1
2026-01-17,Osasuna,Real Sociedad,1,3
2026-01-17,Barcelona,Athletic Club,4,0
2026-01-17,Alavés,Celta de Vigo,0,1
2026-01-17,Valencia,Levante,1,0
2026-01-17,Celta de Vigo,Barcelona,2,4
2026-01-17,Mallorca,Getafe,1,0
2026-01-17,Valencia,Real Betis,1,1
2026-01-17,Rayo Vallecano,Real Madrid,0,0
2026-01-17,Athletic Club,Real Oviedo,1,0
2026-01-17,Espanyol,Villarreal,0,2
2026-01-17,Atlético de Madrid,Levante,3,1
2026-01-17,Sevilla,Osasuna,1,0
2026-01-17,Girona,Alavés,1,0
2026-01-17,Elche,Real Sociedad,1,1
2026-01-17,Real Oviedo,Osasuna,0,0
2026-01-17,Real Betis,Mallorca,3,0
2026-01-17,Barcelona,Elche,3,1
2026-01-17,Alavés,Espanyol,2,1
2026-01-17,Levante,Celta de Vigo,1,2
2026-01-17,Real Madrid,Valencia,4,0
2026-01-17,Real Sociedad,Athletic Club,3,2
2026-01-17,Atlético de Madrid,Sevilla,3,0
2026-01-17,Villarreal,Rayo Vallecano,4,0
2026-01-17,Getafe,Girona,2,1
2026-01-17,Real Betis,Atlético de Madrid,0,2
2026-01-17,Rayo Vallecano,Alavés,1,0
2026-01-17,Osasuna,Celta de Vigo,2,3
2026-01-17,Real Madrid,Barcelona,2,1
2026-01-17,Mallorca,Levante,1,1
2026-01-17,Valencia,Villarreal,0,2
2026-01-17,Athletic Club,Getafe,0,1
2026-01-17,Espanyol,Elche,1,0
2026-01-17,Girona,Real Oviedo,3,3
2026-01-17,Real Sociedad,Sevilla,2,1
2026-01-17,Alavés,Valencia,0,0
2026-01-17,"Getafe
2",Real Madrid,0,1
2026-01-17,Levante,Rayo Vallecano,0,3
2026-01-17,Celta de Vigo,Real Sociedad,1,1
2026-01-17,Elche,Athletic Club,0,0
